date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:07:54	42401/42401	---M-Z	200	added ('OK')	text/html	etag:W/%225ee94412f07d404d88c7030bbb47299f%22	https://cs50.harvard.edu/web/2018/notes/2/	C:/My%20Web%20Sites/cs50/cs50.harvard.edu/web/2018/notes/2/index.html	(from https://cs50.harvard.edu/web/2018/)
09:07:54	52339/52339	---M-Z	200	added ('OK')	text/html	etag:W/%229bab3b8a394836f3d19bc45ee586ec5c%22	https://cs50.harvard.edu/web/2018/notes/3/	C:/My%20Web%20Sites/cs50/cs50.harvard.edu/web/2018/notes/3/index.html	(from https://cs50.harvard.edu/web/2018/)
09:07:54	133034/133034	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22c1868c9545d2de1cf8488f1dadd8c9d0%22	https://cs50.harvard.edu/web/2018/assets/@fortawesome/fontawesome-free/webfonts/fa-brands-400.eot?	C:/My%20Web%20Sites/cs50/cs50.harvard.edu/web/2018/assets/@fortawesome/fontawesome-free/webfonts/fa-brands-400d41d.eot	(from https://cs50.harvard.edu/web/2018/assets/@fortawesome/fontawesome-free/css/all.min.css?1590121405)
09:07:54	77465/77465	---M-Z	200	added ('OK')	text/html	etag:W/%2227f2d0d77bff1fa245526dd1e44af085%22	https://cs50.harvard.edu/web/2018/notes/4/	C:/My%20Web%20Sites/cs50/cs50.harvard.edu/web/2018/notes/4/index.html	(from https://cs50.harvard.edu/web/2018/)
09:07:54	76612/76612	---M--	200	added ('OK')	binary/octet-stream	etag:%22a06da7f0950f9dd366fc9db9d56d618a%22	https://cs50.harvard.edu/web/2018/assets/@fortawesome/fontawesome-free/webfonts/fa-brands-400.woff2	C:/My%20Web%20Sites/cs50/cs50.harvard.edu/web/2018/assets/@fortawesome/fontawesome-free/webfonts/fa-brands-400.woff2	(from https://cs50.harvard.edu/web/2018/assets/@fortawesome/fontawesome-free/css/all.min.css?1590121405)
09:07:54	95550/95550	---M-Z	200	added ('OK')	text/html	etag:W/%223648596b5780b2a356e743685feaf63e%22	https://cs50.harvard.edu/web/2018/notes/5/	C:/My%20Web%20Sites/cs50/cs50.harvard.edu/web/2018/notes/5/index.html	(from https://cs50.harvard.edu/web/2018/)
09:07:55	89824/89824	---M--	200	added ('OK')	application/font-woff	etag:%22ec3cfddedb8bebd2d7a3fdf511f7c1cc%22	https://cs50.harvard.edu/web/2018/assets/@fortawesome/fontawesome-free/webfonts/fa-brands-400.woff	C:/My%20Web%20Sites/cs50/cs50.harvard.edu/web/2018/assets/@fortawesome/fontawesome-free/webfonts/fa-brands-400.woff	(from https://cs50.harvard.edu/web/2018/assets/@fortawesome/fontawesome-free/css/all.min.css?1590121405)
09:07:55	118343/118343	---M-Z	200	added ('OK')	text/html	etag:W/%2224b9b3019d789f91690acd16c6f57ca4%22	https://cs50.harvard.edu/web/2018/notes/6/	C:/My%20Web%20Sites/cs50/cs50.harvard.edu/web/2018/notes/6/index.html	(from https://cs50.harvard.edu/web/2018/)
09:07:55	132728/132728	---M--	200	added ('OK')	application/font-sfnt	etag:%2213685372945d816a2b474fc082fd9aaa%22	https://cs50.harvard.edu/web/2018/assets/@fortawesome/fontawesome-free/webfonts/fa-brands-400.ttf	C:/My%20Web%20Sites/cs50/cs50.harvard.edu/web/2018/assets/@fortawesome/fontawesome-free/webfonts/fa-brands-400.ttf	(from https://cs50.harvard.edu/web/2018/assets/@fortawesome/fontawesome-free/css/all.min.css?1590121405)
09:07:55	91162/91162	---M-Z	200	added ('OK')	text/html	etag:W/%2258c98e18da9b120add3d349dbaaccfee%22	https://cs50.harvard.edu/web/2018/notes/7/	C:/My%20Web%20Sites/cs50/cs50.harvard.edu/web/2018/notes/7/index.html	(from https://cs50.harvard.edu/web/2018/)
